Campus,latitude,longitude,CampusType,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
UW-Madison,43.081309,-89.395609,Four-Year,33179,34093,35348,34106,34704,35132,35634,36702,36878,37309,37971,38831,39551,38996,37851,37704,37678,37440,37020,36015,35282,34714,34439,34603,35023,35173,35586,36330,36582,36923,37051,36726,37051,36726,37137,37263,37622,38185,37914,38385,38498,38373,38832,38795,39219,39888,40801,41475,43126,44966
UW-Milwaukee Main Campus,43.063146,-87.948334,Four-Year,18831,18939,18565,18172,17459,17542,17536,18123,18652,18677,18941,19006,18843,18800,17657,17606,17189,18164,18100,17370,16584,15849,15417,15377,15981,16546,17255,17818,18451,19264,20398,21615,22370,22747,23780,23746,24908,25035,24511,23989,23095,23108,55491,21764,21324,20993,20329,19711,19048,18253
UW-Eau Claire Main Campus,44.820639,-91.501773,Four-Year,8452,8944,9292,9166,9756,9868,9939,10410,10294,10270,10399,10103,10160,10293,10100,10106,9900,9614,3417,9307,9241,9353,9325,9456,9494,9660,9437,9635,9693,9905,9605,9606,9699,9727,9738,10016,10139,10246,10148,10025,9895,9695,9620,9693,9739,9844,9803,9636,9136,8643
UW-Green Bay Main Campus,44.517447,-87.954553,Four-Year,3101,3084,3052,2754,2684,2629,2752,3061,3266,3439,3488,3498,3617,3638,3854,4042,3841,3898,4285,4140,4343,4405,4267,4410,4431,4573,4462,4537,4711,4588,4810,4830,4846,4719,5021,5113,5364,5348,5251,5272,5051,4991,4834,4935,4986,5135,5468,5412,5648,5581
UW-LaCrosse,43.807519,-91.240304,Four-Year,6545,6945,7143,7449,7988,7962,8284,8301,8464,8175,8437,8676,8863,9163,8815,8862,8667,8321,8261,7829,8066,7989,8189,8436,8489,8723,8730,8689,8880,8819,8689,8350,8749,9027,9243,9256,9207,9357,9562,9699,9868,10019,9937,9895,9801,9872,9835,9756,9572,9433
UW-Oshkosh Main Campus,44.020221,-88.557551,Four-Year,9190,8739,9312,8861,8605,8517,8656,8772,9374,9424,9560,9713,9876,9745,9604,9671,9539,9756,9538,9542,9350,9315,9262,9110,9087,9387,9382,9285,9629,10005,10054,10198,10745,10108,10173,10178,10585,10862,10863,10846,10829,10949,10654,10428,10135,10102,9777,9556,8776,8346
UW-Parkside,42.584327,-87.841871,Four-Year,3519,3584,3762,3436,3493,3385,3476,3609,3805,3926,4142,3753,3502,3521,3440,3666,3642,3721,3707,3667,3680,3581,3440,3274,3352,3458,3686,3741,3847,3844,3957,3995,3958,3934,3985,4089,4128,4060,3822,3677,3695,3694,3631,3621,3654,3642,3682,3607,3234,3027
UW-Platteville Main Campus,42.736625,-90.470909,Four-Year,3876,3830,4134,4387,4588,4529,4682,4803,5090,5233,5368,5224,5301,5205,5052,5041,5157,4944,4995,4842,4688,4722,4686,4653,4626,4736,4896,4917,5047,5314,5388,5527,5688,6012,6269,6523,6892,7093,7367,7717,7764,7878,7853,7666,7447,7128,6769,6373,5767,5609
UW-River Falls,44.8531,-92.622396,Four-Year,3743,3873,4113,4685,4805,4821,4987,5226,5380,5249,5200,5006,4957,5171,5035,5031,4847,4660,4908,4862,4741,4908,4787,4865,4966,5226,5350,5439,5357,5199,5348,5440,5568,5612,5841,5942,6057,6157,6068,2744,5503,5489,5263,5198,5408,5564,5401,5290,4718,4459
UW-Stevens Point Main Campus,44.51956,-89.573683,Four-Year,7396,7246,7457,7726,7959,8002,8086,8209,8277,8081,7979,8241,8460,8629,8595,8604,8268,8064,7983,7963,7947,7810,7771,7742,7800,7821,7888,7870,7960,7937,8008,8038,7970,8165,8268,8316,8461,8734,8741,8897,8806,8536,8292,7814,7399,6956,6561,6548,6431,6641
UW-Stout,44.889048,-91.912448,Four-Year,5396,5833,5830,5995,6372,6806,6999,7348,7549,7548,7459,7284,7486,7387,7341,7356,7027,6999,7152,6850,6754,6734,6631,6692,6767,6941,7068,7092,7142,7191,7076,6886,7259,7322,7320,7518,7513,762,7704,7613,7591,7702,7739,7740,7525,7057,6832,6491,6243,5850
